id,name,latitude,longitude,country_code
n3718665681,Centre médical,35.809477,0.209856,DZ
n3751964639,Centre de soin Afir,36.809906,4.169461,DZ
n3769823532,centre de santé,36.155793,1.307157,DZ
n3786889385,مصحة بلعرج,36.742704,3.06493,DZ
n3788638318,Emergency Health Centre,35.779807,0.187829,DZ
n3791136159,Polyclinique Tlilène,27.88347,-0.263616,DZ
n3792535999,Emergency Health Centre,36.728821,3.216767,DZ
n3884431472,Hôpital militaire,31.955207,5.33208,DZ
n3884750015,Les Glycines,36.757282,3.041724,DZ
n3927503519,Centre d'Imagerie,36.44261,6.269641,DZ
n3989718213,Cabinet médical d'urgence,36.764308,3.265035,DZ
n4012432324,dr kermali,36.178279,5.402794,DZ
n4036926224,Emergency Health Centre,36.071891,1.123896,DZ
n4036926239,Hôpital de SOBHA,36.105313,1.105041,DZ
n4060368134,EPSP,35.916711,5.293162,DZ
n4101850997,AMG,36.877037,6.608606,DZ
n4106648790,Dispensaire Slimani slimane,35.449237,2.894077,DZ
n4143356492,Hôpital Chelghoum Laïd,36.170185,6.161062,DZ
n4143356495,Polyclinique,36.163561,6.172927,DZ
n4148695492,Emergency Health Centre,36.163918,6.166417,DZ
n4151870597,الأمومة المركزية الوادي,33.361762,6.845379,DZ
n4153939586,Urgence médicale استعجالات طبية,35.913697,5.288218,DZ
n4169315195,Centre De Soins,35.534015,6.172786,DZ
n4169433293,urgence chirurgicale,36.779022,2.981933,DZ
n4170340791,Urgences pédiatrique et chirurgie pediatrique,36.721836,3.147341,DZ
n4197345590,consultation d'hématologie,36.779889,2.983977,DZ
n4197361089,urgence pédiatriques,36.780368,2.983341,DZ
n4202804189,Epsp,23.690893,5.149845,DZ
n4207690496,Emergency Health Centre,36.066564,4.623337,DZ
n4208929127,Hôpital Ziroud Yousef,36.786474,3.026096,DZ
n4209701501,الطب المدرسي,36.063401,4.626834,DZ
n4210780909,Emergency Health Centre,36.159763,0.966076,DZ
n4210789304,Emergency Health Centre,36.162116,0.965613,DZ
n4218102291,Polyclinique Douera,36.668583,2.939576,DZ
n4242662591,EPH Belhi Abdelhamid,36.11991,5.980187,DZ
n4246756954,Hôpital de rouiba les urgence,36.735477,3.286744,DZ
n4246766519,Hôpital de rouiba,36.735585,3.285736,DZ
n4246766520,Clinique d'accouchement,36.741268,3.284408,DZ
n4253359904,مركز أم الطبول الصحي,36.88147,8.564734,DZ
n4254783516,Emergency Health Centre,36.385344,4.38859,DZ
n4257997689,مستشفى الأمومة والتوليد,35.795125,7.394221,DZ
n4267284873,Hamadou Hocine,36.096695,0.40994,DZ
n4267415893,Emergency Health Centre,32.61718,5.51231,DZ
n4267416089,Emergency Health Centre,35.530511,-0.188183,DZ
n4290861092,المستشفى القديم,35.7917,7.390715,DZ
n4290897896,مستشفى الأمومة والتوليد,35.795007,7.394165,DZ
n4294149589,العيادة المتعددة الخدمات عين غار,27.107116,1.909841,DZ
n4299261122,عيادة الصندوق الوطني للتوفير والاحتياط,33.674129,1.025027,DZ
n4311948959,مستشفى حاسي مسعود,31.690404,6.064484,DZ
n4312139889,médecine du travail,36.18094,5.40422,DZ
n4312460703,Emergency Health Centre,35.087674,3.022345,DZ
n4312460704,عيادة تصفية الدم,35.088161,3.022168,DZ
n4314201090,Emergency Health Centre,36.537157,3.095814,DZ
n4316966296,polyclinique Souk El Tenine,36.62631,5.336041,DZ
n4323246391,Emergency Health Centre,36.398043,6.326128,DZ
n4326895847,EPSP BBM;المؤسسة العمومية للصحة الجوارية,21.331025,0.9607,DZ
n4327376790,Emergency Health Centre,35.257788,2.490194,DZ
n4333710492,مستشفى تاجموت,33.880648,2.526575,DZ
